model,split,condition,n,success_reported,success_json_tolerant,success_official_strict,reported_convention,official_method,row_file,source_files
7B,ood_single_family,memento_style,924,0.0141,0.0141,0.0141,json_tolerant,recomputed: viki_bench.score_response(official viki_2) on raw_output,results/paper_viki_iclr2027/rows/figure2/memento_style/qwen2.5-vl-7b-instruct/ood_single_family.jsonl,results/viki_memory_experiments/amendment11/memento_fold_m7_clear_table_with_two_robots_and_put_in_cabinet.jsonl;results/viki_memory_experiments/amendment11/memento_fold_m7_cut_fruit_on_board.jsonl;results/viki_memory_experiments/amendment11/memento_fold_m7_cut_two_fruits_on_board.jsonl;results/viki_memory_experiments/amendment11/memento_fold_m7_dog_push_box_for_two_panda_transport.jsonl;results/viki_memory_experiments/amendment11/memento_fold_m7_ensure_all_fruits_on_table.jsonl;results/viki_memory_experiments/amendment11/memento_fold_m7_parallel_human_dual_asset_to_plate_or_bowl.jsonl;results/viki_memory_experiments/amendment11/memento_fold_m7_set_plate_and_fork_on_table.jsonl;results/viki_memory_experiments/amendment11/memento_fold_m7_toast_bread_and_set_plate.jsonl
7B,pure_text,ours,297,0.2559,0.2559,0.2559,simulator_solved,identity: SOLVED == official acc_reward on planner plan,results/paper_viki_iclr2027/rows/figure2/ours/qwen2.5-vl-7b-instruct/pure_text.jsonl,results/viki_memory_experiments/amendment11/v3_oursall_7B_text.jsonl
7B,pure_text,tom,297,0.0000,0.0000,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/tom/qwen2.5-vl-7b-instruct/pure_text.jsonl,results/paper_viki_iclr2027/raw/figure2_tom/qwen2.5-vl-7b-instruct/pure_text/rows.jsonl
7B,pure_text,zero_shot,297,0.0000,0.0000,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/zero_shot/qwen2.5-vl-7b-instruct/pure_text.jsonl,results/viki_memory_experiments/amendment10/text/zero_shot.m7.jsonl
7B,pure_text,trajectory_rag,297,0.0000,0.0000,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/trajectory_rag/qwen2.5-vl-7b-instruct/pure_text.jsonl,results/viki_memory_experiments/amendment10/text/trajectory_rag.m7.jsonl
7B,pure_text,g_memory,297,0.0000,0.0000,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/g_memory/qwen2.5-vl-7b-instruct/pure_text.jsonl,results/viki_memory_experiments/amendment10/text/gmemory.m7.jsonl
7B,pure_text,memento_style,297,0.0000,0.0000,0.0000,json_tolerant,recomputed: viki_bench.score_response(official viki_2) on raw_output,results/paper_viki_iclr2027/rows/figure2/memento_style/qwen2.5-vl-7b-instruct/pure_text.jsonl,results/viki_memory_experiments/amendment11/memento_recomb_text_m7.jsonl
7B,cg_image,ours,297,0.1515,0.1515,0.1515,simulator_solved,identity: SOLVED == official acc_reward on planner plan,results/paper_viki_iclr2027/rows/figure2/ours/qwen2.5-vl-7b-instruct/cg_image.jsonl,results/viki_memory_experiments/amendment11/v3_oursall_7B_imaged.jsonl
7B,cg_image,tom,297,0.0000,0.0000,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/tom/qwen2.5-vl-7b-instruct/cg_image.jsonl,results/paper_viki_iclr2027/raw/figure2_tom/qwen2.5-vl-7b-instruct/cg_image/rows.jsonl
7B,cg_image,zero_shot,297,0.0000,0.0000,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/zero_shot/qwen2.5-vl-7b-instruct/cg_image.jsonl,results/viki_memory_experiments/amendment10/imaged/zero_shot.m7.jsonl
7B,cg_image,trajectory_rag,297,0.0000,0.0000,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/trajectory_rag/qwen2.5-vl-7b-instruct/cg_image.jsonl,results/viki_memory_experiments/amendment10/imaged/trajectory_rag.m7.jsonl
7B,cg_image,g_memory,297,0.0000,0.0000,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/g_memory/qwen2.5-vl-7b-instruct/cg_image.jsonl,results/viki_memory_experiments/amendment10/imaged/gmemory.m7.jsonl
7B,cg_image,memento_style,297,0.0000,0.0000,0.0000,json_tolerant,recomputed: viki_bench.score_response(official viki_2) on raw_output,results/paper_viki_iclr2027/rows/figure2/memento_style/qwen2.5-vl-7b-instruct/cg_image.jsonl,results/viki_memory_experiments/amendment11/memento_recomb_imaged_m7.jsonl
