model,split,index,task_name,reask,full_solved,full_replay_solved,first_turn_solved,archived_reason,first_turn_reason
72B,heldout,54,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,55,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,56,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,61,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,63,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,67,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,68,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,71,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,75,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,78,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,81,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,87,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,94,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,95,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,96,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,97,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,98,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,99,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,100,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,102,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,103,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,105,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,107,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,109,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,110,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,111,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,115,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,117,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,118,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,119,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,120,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,121,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,122,dog_push_box_for_two_panda_transport,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,125,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,127,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,128,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,129,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,131,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,132,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,134,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,137,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,138,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,140,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,141,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,142,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,144,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,145,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,146,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,147,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,148,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,149,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,151,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,152,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,155,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,156,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,163,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,164,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,165,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,166,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,167,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,168,cut_fruit_on_board,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,heldout,171,cut_fruit_on_board,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,heldout,172,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,173,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,174,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,175,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,176,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,177,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,178,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,179,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,180,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,181,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,182,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,184,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,186,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,188,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,190,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,196,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,197,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,198,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,199,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,200,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,204,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,205,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,206,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,207,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,209,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,211,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,213,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,214,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,215,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,216,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,218,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,221,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,222,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,223,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,224,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,227,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,228,dog_push_box_for_two_panda_transport,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,229,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,230,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,233,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,235,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,236,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,237,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,240,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,241,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,242,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,248,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,249,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,251,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,253,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,254,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,255,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,258,dog_push_box_for_two_panda_transport,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,261,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,267,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,269,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,270,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,271,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,272,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,275,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,277,cut_two_fruits_on_board,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,heldout,278,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,279,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,280,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,283,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,284,dog_push_box_for_two_panda_transport,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,287,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,293,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,295,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,296,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,297,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,298,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,299,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,302,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,303,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,311,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,313,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,315,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,316,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,317,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,318,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,323,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,324,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,325,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,329,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,330,ensure_all_fruits_on_table,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,heldout,334,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,339,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,340,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,344,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,345,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,346,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,347,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,348,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,349,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,352,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,353,cut_two_fruits_on_board,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,heldout,358,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,359,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,360,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,361,dog_push_box_for_two_panda_transport,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,362,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,364,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,365,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,366,dog_push_box_for_two_panda_transport,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,367,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,368,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,372,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,375,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,376,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,378,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,381,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,382,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,383,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,391,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,392,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,393,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,394,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,395,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,397,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,398,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,401,cut_two_fruits_on_board,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,heldout,402,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,404,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,406,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,407,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,409,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,410,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,412,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,416,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,421,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,422,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,423,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,424,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,426,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,428,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,430,cut_fruit_on_board,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,heldout,434,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,436,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,437,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,439,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,440,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,443,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,447,dog_push_box_for_two_panda_transport,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,451,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,452,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,454,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,458,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,459,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,462,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,466,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,472,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,474,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,475,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,476,cut_two_fruits_on_board,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,heldout,478,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,479,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,480,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,481,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,484,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,485,dog_push_box_for_two_panda_transport,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,486,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,487,dog_push_box_for_two_panda_transport,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,489,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,494,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,496,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,497,cut_fruit_on_board,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,heldout,498,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,501,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,502,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,503,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,504,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,507,cut_two_fruits_on_board,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,heldout,510,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,512,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,513,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,515,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,516,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,517,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,519,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,520,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,525,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,531,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,532,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,536,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,537,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,539,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,541,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,544,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,545,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,546,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,548,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,549,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,551,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,552,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,555,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,559,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,561,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,562,ensure_all_fruits_on_table,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,heldout,563,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,564,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,566,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,569,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,570,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,571,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,572,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,573,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,576,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,578,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,579,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,581,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,582,ensure_all_fruits_on_table,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,heldout,584,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,586,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,587,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,592,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,heldout,594,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,596,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,598,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,600,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,heldout,601,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,heldout,602,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,605,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,607,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,heldout,608,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,heldout,612,clear_table_with_two_robots_and_put_in_cabinet,1,0,0,0,infeasible_assignment,infeasible_assignment
